,brand,model
123,apple,iphone 14
124,samsung,galaxy m13
125,alcatel,1b 2022
126,apple,iphone 14
127,samsung,galaxy s23
128,samsung,galaxy a54
129,apple,iphone 14
130,xiaomi,redmi 12c
131,poco,m5s
132,realme,8i
133,xiaomi,12t
134,nothing,phone (1)
135,apple,iphone 14
136,apple,iphone 14
137,xiaomi,redmi 12
138,apple,iphone 12
139,vivo,y22s
140,xiaomi,redmi note 12
141,samsung,galaxy s23
142,apple,iphone 14
143,samsung,galaxy m23
144,samsung,galaxy a33
145,vivo,y22s
146,xiaomi,13
147,alcatel,1b 2022
148,apple,iphone 13
149,samsung,galaxy a34
150,samsung,galaxy a34
151,vivo,y35
152,vivo,x60 pro
153,motorola,edge 40
154,nothing,phone (1)
155,samsung,galaxy a34
156,zte,blade a52
157,samsung,galaxy a54
158,samsung,galaxy s21
159,xiaomi,redmi 10c
160,samsung,galaxy a54
161,xiaomi,redmi 12
162,samsung,galaxy a54
163,oppo,a78
164,samsung,galaxy s23
165,xiaomi,redmi note 11
166,samsung,galaxy a34
167,apple,iphone 14
168,samsung,galaxy a14
169,samsung,galaxy a23
170,samsung,galaxy a14
171,vivo,y35
172,xiaomi,12
173,poco,x5 pro
174,apple,iphone 14
175,apple,iphone 14
176,apple,iphone 14
177,apple,iphone 11
178,samsung,galaxy s23
179,samsung,galaxy a54
180,apple,iphone 13
181,vivo,y76
182,vivo,y76
183,poco,m5
184,poco,c40
185,realme,narzo 50
186,apple,iphone 13
187,xiaomi,12t
188,oppo,a78
189,samsung,galaxy a54
190,apple,iphone 13
191,apple,iphone 12
192,poco,x5 pro
193,samsung,galaxy a54
194,apple,iphone 13
195,xiaomi,redmi note 12
196,samsung,galaxy a54
197,oppo,a98
198,xiaomi,redmi note 12
199,xiaomi,12
200,apple,iphone xr
201,apple,iphone 13
202,zte,blade a52
203,apple,iphone 14
204,vivo,y16
205,samsung,galaxy s22
206,vivo,y16
207,apple,iphone 12
208,poco,x5
209,xiaomi,redmi 10
210,motorola,razr 40
211,xiaomi,redmi 9a
212,samsung,galaxy a54
213,zte,blade a72
214,xiaomi,redmi note 11
215,realme,gt2
216,samsung,galaxy s23
217,samsung,galaxy s23
218,oneplus,nord ce 3
219,samsung,galaxy s23
220,samsung,galaxy s23
221,samsung,galaxy a14
222,apple,iphone 14
223,oppo,a57s
224,tcl,20 r
225,oppo,a98
226,apple,iphone 14
227,xiaomi,redmi note 12
228,oppo,x5
229,xiaomi,13
230,samsung,galaxy z flip4
231,cat,s42h+
232,apple,iphone 14
233,samsung,galaxy a53
234,motorola,edge 40
235,poco,x5
236,nothing,phone (1)
237,vivo,y76
238,vivo,v21 5g
239,poco,m5
240,samsung,galaxy s23
241,samsung,galaxy s23
242,vivo,v21 5g
243,xiaomi,note 12s
244,vivo,y76
245,xiaomi,note 12s
246,apple,iphone 14
247,xiaomi,13
248,apple,iphone 14
249,apple,iphone 11
250,spc,smart ultimate
251,poco,x5 pro
252,samsung,galaxy s23
253,motorola,edge 40
254,samsung,galaxy s23
255,oneplus,nord ce 2
256,cubot,kingkong power
257,xiaomi,redmi 12c
258,xiaomi,redmi 9c
259,oppo,reno10
260,samsung,galaxy a34
261,samsung,galaxy m13
262,samsung,galaxy a14
263,apple,iphone 8
264,oppo,reno8
265,tcl,408
266,samsung,galaxy a14
267,xiaomi,redmi 12c
268,samsung,galaxy a34
269,tcl,40 se
270,apple,iphone 12
271,tcl,403
272,apple,iphone 14
273,oppo,reno10
274,samsung,galaxy a14
275,samsung,galaxy s23
276,xiaomi,note 12s
277,apple,iphone xs
278,apple,iphone 12
279,samsung,galaxy a34
280,apple,iphone 14
281,samsung,galaxy s22
282,apple,iphone 13
283,xiaomi,redmi note 12
284,motorola,edge 30
285,apple,iphone 13
286,oppo,a74
287,samsung,galaxy a34
288,xiaomi,11t pro
289,google,pixel 6a
290,zte,blade a72
291,apple,iphone 13
292,oppo,x5
293,oppo,a57s
294,samsung,galaxy s23
295,apple,iphone 14
296,realme,gt neo 3t
297,xiaomi,redmi note 12
298,samsung,galaxy a54
299,samsung,galaxy a14
300,apple,iphone 11
301,xiaomi,redmi note 12
302,samsung,galaxy a32
303,apple,iphone 11
304,xiaomi,redmi note 12
305,apple,iphone 14
306,realme,narzo 50
307,samsung,galaxy s23
308,oppo,a17
309,apple,iphone xr
310,samsung,galaxy a34
311,apple,iphone 14
312,apple,iphone 14
313,samsung,galaxy m13
314,xiaomi,redmi 12
315,apple,iphone 14
316,google,pixel 7
317,samsung,galaxy s23
318,apple,iphone 12
319,apple,iphone 13
320,xiaomi,redmi 9at
321,motorola,edge 40
322,apple,iphone 14
323,oppo,x5
324,apple,iphone 14
325,samsung,galaxy s23
326,apple,iphone 14
327,xiaomi,shark 5
328,motorola,moto g23
329,samsung,galaxy a14
330,apple,iphone se (gen 3)
331,poco,x5
332,samsung,galaxy s23
333,samsung,galaxy a14
334,apple,iphone 12
335,poco,f5
336,samsung,galaxy s23
337,realme,narzo 50i
338,apple,iphone 14
339,samsung,galaxy s23
340,apple,iphone 13
341,motorola,razr 40
342,xiaomi,redmi note 12
343,oppo,a78
344,samsung,galaxy a54
345,samsung,galaxy a34
346,tcl,305i
347,tcl,40 se
348,motorola,razr 40
349,tcl,408
350,apple,iphone 11
351,poco,f4
352,apple,iphone 11
353,xiaomi,redmi note 12
354,poco,x5 pro
355,xiaomi,redmi note 12
356,samsung,galaxy s23
357,xiaomi,redmi note 11
358,xiaomi,redmi note 12
359,apple,iphone 12
360,tcl,40 se
361,oppo,reno10
362,samsung,galaxy a23
363,apple,iphone 12
364,apple,iphone 12
365,samsung,galaxy a34
366,oppo,reno10
367,poco,x5 pro
368,oppo,reno8
369,oppo,x5 pro
370,tcl,40 se
371,samsung,galaxy s23
372,zte,blade v40 vita
373,samsung,galaxy s23
374,samsung,galaxy s20
375,apple,iphone 12
376,xiaomi,redmi a2
377,xiaomi,redmi 9c
378,apple,iphone 14
379,samsung,galaxy a04s
380,tcl,405
381,apple,iphone 14
382,apple,iphone 14
383,apple,iphone 12
384,samsung,galaxy a52s
385,apple,iphone 13
386,samsung,galaxy s22
387,xiaomi,redmi 12c
388,poco,x5
389,apple,iphone 12
390,oppo,a57s
391,samsung,galaxy s23
392,apple,iphone 12
393,samsung,galaxy s23
394,xiaomi,redmi 10c
395,apple,iphone x
396,poco,m5
397,apple,iphone 12
398,apple,iphone 14
399,xiaomi,redmi 10
400,xiaomi,12t
401,xiaomi,11 pro
402,tcl,403
403,apple,iphone 12
404,samsung,galaxy s22
405,samsung,galaxy s21
406,samsung,galaxy a54
407,samsung,galaxy s22
408,apple,iphone 12
409,apple,iphone 12
410,samsung,galaxy s23
411,samsung,galaxy s23
412,apple,iphone 13
413,realme,gt2
414,samsung,galaxy z fold4
415,xiaomi,redmi note 11s
416,xiaomi,12
417,poco,m5
418,samsung,galaxy s23
419,xiaomi,redmi 10a
420,apple,iphone 13
421,apple,iphone 11
422,cubot,kingkong 9
423,zte,blade v40 vita
424,samsung,galaxy s21
425,poco,x5
426,tcl,30 se
427,apple,iphone 12
428,xiaomi,note 12s
429,xiaomi,redmi note 10
430,apple,iphone 13
431,apple,iphone 11
432,tcl,30
433,samsung,galaxy a54
434,samsung,galaxy s23
435,samsung,galaxy a54
436,tcl,305i
437,poco,m5s
438,xiaomi,redmi 9a
439,samsung,galaxy s20
440,samsung,galaxy s23
441,samsung,galaxy s22
442,xiaomi,redmi 10a
443,poco,c40
444,samsung,galaxy note 20
445,xiaomi,redmi 12c
446,xiaomi,redmi go
447,ulefone,armor x10
448,poco,x5
449,apple,iphone 14
450,tcl,30
451,apple,iphone 14
452,samsung,galaxy s23
453,samsung,galaxy a14
454,realme,gt master edition
455,samsung,galaxy a20e
456,samsung,galaxy a34
457,tcl,30e
458,motorola,razr 40
459,samsung,galaxy s22
460,xiaomi,shark 5
461,samsung,galaxy s23
462,apple,iphone xr
463,motorola,edge 30
464,samsung,galaxy s23
465,samsung,galaxy s21
466,apple,iphone xr
467,oppo,reno8
468,oppo,a54
469,samsung,galaxy note 10
470,xiaomi,redmi note 12
471,zte,blade a31
472,samsung,galaxy s23
473,poco,x5
474,samsung,galaxy s23
475,tcl,405
476,xiaomi,x3
477,samsung,galaxy z fold4
478,samsung,galaxy s21
479,oppo,reno6
480,apple,iphone 13
481,apple,iphone xr
482,poco,f5
483,oppo,x3
484,samsung,galaxy s22
485,apple,iphone 14
486,apple,iphone 13
487,xiaomi,redmi 10a
488,samsung,galaxy a32
489,realme,9
490,apple,iphone 12
491,google,pixel 7
492,apple,iphone 13
493,samsung,galaxy s23
494,xiaomi,redmi note 12
495,samsung,galaxy a34
496,apple,iphone 12
497,oneplus,nord n10
498,apple,iphone 12
499,apple,iphone 7
500,xiaomi,redmi note 12
501,xiaomi,13
502,xiaomi,redmi 10c
503,oppo,reno4
504,apple,iphone 12
505,apple,iphone 14
506,apple,iphone x
507,samsung,galaxy s20
508,xiaomi,redmi 10a
509,cat,s62
510,samsung,galaxy a34
511,xiaomi,11t pro
512,spc,jasper 2
513,apple,iphone 11
514,realme,9i
515,poco,m5s
516,apple,iphone 12
517,xiaomi,11t
518,samsung,galaxy s21
519,xiaomi,shark 4
520,samsung,galaxy a14
521,samsung,galaxy s10
522,samsung,galaxy s23
523,nokia,g21
524,apple,iphone 13
525,xiaomi,redmi note 11
526,apple,iphone 12
527,apple,iphone 13
528,apple,iphone 13
529,xiaomi,redmi 10c
530,apple,iphone 13
531,poco,f5
532,samsung,galaxy a54
533,samsung,galaxy s21
534,apple,iphone 14
535,apple,iphone se (gen 3)
536,xiaomi,redmi a2
537,apple,iphone 13
538,apple,iphone 14
539,apple,iphone 11
540,oppo,a17
541,samsung,galaxy z fold4
542,apple,iphone 11
543,xiaomi,13
544,poco,f5
545,apple,iphone 13
546,apple,iphone xs
547,samsung,galaxy s22
548,xiaomi,mi 11
549,xiaomi,redmi note 10
550,samsung,galaxy s21
551,apple,iphone 12
552,samsung,galaxy z flip 3
553,apple,iphone 14
554,honor,magic 4
555,oppo,reno8
556,realme,8i
557,apple,iphone 13
558,xiaomi,11 lite
559,apple,iphone 13
560,samsung,galaxy m13
561,xiaomi,11 pro
562,samsung,galaxy s20
563,realme,gt2
564,samsung,galaxy a13
565,samsung,galaxy s9
566,poco,f5
567,samsung,galaxy s23
568,xiaomi,12
569,apple,iphone se (gen 3)
570,samsung,galaxy s23
571,oppo,a57s
572,realme,8
573,xiaomi,11 pro
574,motorola,moto e22
575,samsung,galaxy a14
576,oppo,a96
577,samsung,galaxy z flip4
578,samsung,galaxy s23
579,apple,iphone 8
580,apple,iphone 12
581,apple,iphone 12
582,apple,iphone 13
583,apple,iphone 13
584,xiaomi,redmi 10
585,xiaomi,shark 5
586,apple,iphone 13
587,tcl,30
588,xiaomi,mi 9
589,apple,iphone 13
590,oppo,a54s
591,oppo,x3
592,oppo,a77
593,xiaomi,redmi 9c
594,oppo,x5 pro
595,xiaomi,mi 11i
596,xiaomi,redmi note 12
597,apple,iphone 11
598,apple,iphone xs
599,huawei,p30
600,cubot,p80
601,samsung,galaxy note 10
602,samsung,galaxy a50
603,zte,blade a31
604,zte,blade a52
